hold_id,request_dt,item_id,patron_id,pickup_location,collection,status,wait_days,fulfill_dt
H0000002,2025-08-17,I004421,P002642,Main,Book,fulfilled,6.6,2025-08-23 14:24:00
H0000006,2025-06-21,I002486,P002884,Main,CourseReserve,expired,5.7,
H0000007,2025-01-08,I004575,P001248,Main,Book,fulfilled,3.6,2025-01-11 14:24:00
H0000008,2025-07-13,I000789,P000416,Main,Book,fulfilled,2.1,2025-07-15 02:24:00
H0000011,2025-11-21,I001610,P001510,Main,Book,fulfilled,6.6,2025-11-27 14:24:00
H0000012,2024-05-05,I005140,P000666,Main,CourseReserve,fulfilled,3.2,2024-05-08 04:48:00
H0000013,2025-04-13,I001891,P002662,Main,Book,fulfilled,2.9,2025-04-15 21:36:00
H0000014,2025-11-18,I000761,P002585,Main,Book,fulfilled,9.8,2025-11-27 19:12:00
H0000015,2025-09-14,I001234,P002171,Main,Book,fulfilled,3.5,2025-09-17 12:00:00
H0000016,2024-07-29,I003467,P000661,Main,Book,fulfilled,3.1,2024-08-01 02:24:00
H0000020,2025-03-25,I001190,P002357,Main,Book,fulfilled,3.2,2025-03-28 04:48:00
H0000022,2025-01-06,I003886,P000660,Main,CourseReserve,fulfilled,4.0,2025-01-10 00:00:00
H0000023,2024-12-08,I001226,P002283,Main,Book,fulfilled,5.4,2024-12-13 09:36:00
H0000025,2024-10-19,I000336,P002681,Main,Book,fulfilled,5.9,2024-10-24 21:36:00
H0000028,2025-03-03,I003545,P000675,Main,DVD,fulfilled,5.2,2025-03-08 04:48:00
H0000030,2025-05-20,I003917,P000980,Main,Book,fulfilled,7.5,2025-05-27 12:00:00
H0000032,2024-07-01,I005381,P001680,Main,Book,fulfilled,2.9,2024-07-03 21:36:00
H0000033,2025-10-08,I000275,P000404,Main,Book,fulfilled,6.4,2025-10-14 09:36:00
H0000035,2024-02-03,I004100,P002184,Main,Book,expired,4.1,
H0000036,2024-05-09,I001620,P002570,Main,Book,fulfilled,2.8,2024-05-11 19:12:00
H0000038,2024-12-27,I004133,P001882,Main,Book,fulfilled,5.6,2025-01-01 14:24:00
H0000039,2025-11-17,I001469,P001715,Main,DVD,pending,3.3,
H0000040,2025-12-30,I001828,P001446,Main,CourseReserve,fulfilled,8.2,2026-01-07 04:48:00
H0000041,2024-01-15,I000532,P001373,Main,CourseReserve,fulfilled,3.5,2024-01-18 12:00:00
H0000044,2025-11-23,I001984,P001625,Main,Book,cancelled,2.8,
H0000045,2025-12-16,I004960,P001626,Main,Book,fulfilled,4.9,2025-12-20 21:36:00
H0000050,2025-03-19,I005116,P000136,Main,Book,fulfilled,3.6,2025-03-22 14:24:00
H0000052,2024-04-22,I005184,P000198,Main,CourseReserve,fulfilled,7.3,2024-04-29 07:12:00
H0000053,2024-02-08,I005898,P001071,Main,Book,fulfilled,5.7,2024-02-13 16:48:00
H0000054,2024-05-17,I003169,P001076,Main,Book,fulfilled,5.9,2024-05-22 21:36:00
H0000056,2024-03-02,I002289,P000303,Main,Book,fulfilled,6.2,2024-03-08 04:48:00
H0000057,2024-02-25,I001742,P002454,Main,Book,fulfilled,4.8,2024-02-29 19:12:00
H0000059,2024-07-12,I004609,P001297,Main,CourseReserve,fulfilled,3.8,2024-07-15 19:12:00
H0000060,2025-10-29,I001933,P002461,Main,Book,fulfilled,2.8,2025-10-31 19:12:00
