item_id,collection,subject,loan_policy_days,home_location
I000001,Book,Law,28,Main
I000002,CourseReserve,HSS,1,Main
I000003,Book,Medicine,28,Main
I000004,Book,Law,28,Main
I000005,Book,HSS,28,Main
I000006,Book,Arts,28,Main
I000007,Book,STEM,28,Main
I000008,DVD,HSS,7,Main
I000009,Book,Law,28,Main
I000010,Book,HSS,28,Main
I000011,Book,Business,28,Main
I000012,CourseReserve,Business,1,Main
I000013,DVD,Arts,7,Main
I000014,Book,STEM,28,Main
I000015,Book,STEM,28,Main
I000016,Book,Business,28,Main
I000017,Book,HSS,28,Main
I000018,Book,STEM,28,Main
I000019,Book,STEM,28,Main
I000020,Book,HSS,28,Main
I000021,Book,STEM,28,Main
I000022,Book,Medicine,28,Main
I000023,Book,Medicine,28,Main
I000024,Book,HSS,28,Main
I000025,Book,HSS,28,Main
I000026,DVD,HSS,7,Main
I000027,Book,Medicine,28,Main
I000028,Book,HSS,28,Main
I000029,Book,Business,28,Main
I000030,Book,HSS,28,Main
I000031,Book,Law,28,Main
I000032,Book,STEM,28,Main
I000033,Book,Business,28,Main
I000034,CourseReserve,HSS,1,Main
I000035,CourseReserve,Law,1,Main
I000036,DVD,HSS,7,Main
I000037,Book,Business,28,Main
I000038,Book,Medicine,28,Main
I000039,Book,HSS,28,Main
I000040,Book,Medicine,28,Main
I000041,Book,STEM,28,Main
I000042,Book,HSS,28,Main
I000043,Book,STEM,28,Main
I000044,Laptop,HSS,3,Main
I000045,Book,Law,28,Main
I000046,Book,Business,28,Main
I000047,Book,HSS,28,Main
I000048,Book,STEM,28,Main
I000049,Book,Business,28,Main
I000050,Book,Arts,28,Main
I000051,CourseReserve,STEM,1,Main
I000052,Book,Arts,28,Main
I000053,CourseReserve,STEM,1,Main
I000054,Laptop,STEM,3,Main
I000055,Book,Medicine,28,Main
I000056,CourseReserve,STEM,1,Main
I000057,Book,STEM,28,Main
I000058,Book,STEM,28,Main
I000059,Book,Medicine,28,Main
I000060,Book,Medicine,28,Main
I000061,Book,STEM,28,Main
I000062,Book,STEM,28,Main
I000063,DVD,STEM,7,Main
I000064,Book,STEM,28,Main
I000065,Book,HSS,28,Main
I000066,Book,Business,28,Main
I000067,Book,STEM,28,Main
I000068,DVD,STEM,7,Main
I000069,Book,HSS,28,Main
I000070,CourseReserve,HSS,1,Main
I000071,Book,Arts,28,Main
I000072,Book,HSS,28,Main
I000073,Book,HSS,28,Main
I000074,DVD,STEM,7,Main
I000075,Book,HSS,28,Main
I000076,Book,HSS,28,Main
I000077,Book,HSS,28,Main
I000078,Book,STEM,28,Main
I000079,Book,STEM,28,Main
I000080,Book,STEM,28,Main
I000081,DVD,STEM,7,Main
I000082,Book,Arts,28,Main
I000083,Book,STEM,28,Main
I000084,Book,HSS,28,Main
I000085,Book,HSS,28,Main
I000086,Book,STEM,28,Main
I000087,Book,Business,28,Main
I000088,Book,HSS,28,Main
I000089,Laptop,Law,3,Main
I000090,Book,HSS,28,Main
I000091,Book,STEM,28,Main
I000092,Book,Business,28,Main
I000093,Book,STEM,28,Main
I000094,Book,STEM,28,Main
I000095,Book,HSS,28,Main
I000096,Book,Business,28,Main
I000097,Book,HSS,28,Main
I000098,Book,Medicine,28,Main
I000099,Book,HSS,28,Main
I000100,Book,Medicine,28,Main
I000101,Book,STEM,28,Main
I000102,Book,Business,28,Main
I000103,Book,HSS,28,Main
I000104,Book,Medicine,28,Main
I000105,Laptop,HSS,3,Main
I000106,Book,HSS,28,Main
I000107,Book,STEM,28,Main
I000108,Book,HSS,28,Main
I000109,Book,HSS,28,Main
I000110,Book,Arts,28,Main
I000111,Book,Arts,28,Main
I000112,Book,STEM,28,Main
I000113,CourseReserve,Arts,1,Main
I000114,DVD,STEM,7,Main
I000115,Book,HSS,28,Main
I000116,DVD,Law,7,Main
I000117,DVD,Law,7,Main
I000118,Book,Arts,28,Main
I000119,Laptop,HSS,3,Main
I000120,Book,Law,28,Main
I000121,DVD,HSS,7,Main
I000122,Laptop,HSS,3,Main
I000123,Book,HSS,28,Main
I000124,Book,Arts,28,Main
I000125,Book,Business,28,Main
I000126,Book,Business,28,Main
I000127,DVD,STEM,7,Main
I000128,DVD,HSS,7,Main
I000129,Book,HSS,28,Main
I000130,Book,HSS,28,Main
I000131,Book,STEM,28,Main
I000132,Book,Business,28,Main
I000133,Book,STEM,28,Main
I000134,Book,HSS,28,Main
I000135,CourseReserve,HSS,1,Main
I000136,Book,HSS,28,Main
I000137,Book,STEM,28,Main
I000138,Book,Arts,28,Main
I000139,Book,Law,28,Main
I000140,CourseReserve,Business,1,Main
I000141,CourseReserve,STEM,1,Main
I000142,Book,STEM,28,Main
I000143,Book,HSS,28,Main
I000144,Book,Medicine,28,Main
I000145,Book,Business,28,Main
I000146,Book,HSS,28,Main
I000147,Book,STEM,28,Main
I000148,Book,STEM,28,Main
I000149,Book,Law,28,Main
I000150,Book,Arts,28,Main
