txn_id,checkout_dt,item_id,patron_id,checkout_location,loan_policy_days,collection,subject,due_dt,patron_group,risk_profile,renewal_count,return_dt,is_returned,is_late,late_days
T0000001,2025-07-08,I002093,P001137,Main,28,Book,STEM,2025-08-05,Staff,low,0,2025-08-03,True,False,0.0
T0000002,2025-01-22,I000668,P000309,Main,28,Book,Business,2025-02-19,Undergrad,medium,1,2025-02-18,True,False,0.0
T0000003,2024-10-02,I004834,P002140,Main,28,Book,HSS,2024-10-30,Grad,medium,2,2024-10-30,True,False,0.0
T0000004,2025-07-22,I000037,P000460,Main,28,Book,Business,2025-08-19,Undergrad,low,1,2025-08-17,True,False,0.0
T0000005,2025-03-11,I005825,P000665,Main,28,Book,Business,2025-04-08,Undergrad,medium,1,2025-04-08,True,False,0.0
T0000006,2024-06-26,I005504,P000927,Main,28,Book,STEM,2024-07-24,Undergrad,low,0,2024-07-21,True,False,0.0
T0000007,2025-10-13,I000900,P002480,Main,28,Book,STEM,2025-11-10,Undergrad,low,0,2025-11-08,True,False,0.0
T0000008,2025-01-24,I000104,P001057,Main,28,Book,Medicine,2025-02-21,Undergrad,low,1,2025-02-18,True,False,0.0
T0000009,2025-09-29,I003130,P000408,Main,7,DVD,Arts,2025-10-06,Undergrad,low,0,2025-10-04,True,False,0.0
T0000010,2024-02-29,I004010,P002695,Main,28,Book,Business,2024-03-28,Undergrad,low,1,2024-03-26,True,False,0.0
T0000011,2024-06-19,I002878,P002451,Main,28,Book,STEM,2024-07-17,Staff,high,1,2024-07-20,True,True,3.0
T0000012,2024-08-31,I002317,P000199,Main,28,Book,Medicine,2024-09-28,Undergrad,low,0,2024-09-25,True,False,0.0
T0000013,2025-09-21,I001365,P001073,Main,28,Book,STEM,2025-10-19,Undergrad,high,0,2025-10-20,True,True,1.0
T0000014,2025-10-08,I004834,P001034,Main,28,Book,HSS,2025-11-05,Undergrad,low,0,2025-11-02,True,False,0.0
T0000015,2025-08-03,I003033,P000534,Main,28,Book,STEM,2025-08-31,Undergrad,low,1,2025-08-28,True,False,0.0
T0000016,2025-02-28,I003197,P000493,Main,1,CourseReserve,Business,2025-03-01,Undergrad,medium,0,2025-02-26,True,False,0.0
T0000017,2024-12-02,I004567,P000871,Main,28,Book,Medicine,2024-12-30,Grad,low,2,2024-12-29,True,False,0.0
T0000018,2024-03-08,I003543,P002899,Main,28,Book,STEM,2024-04-05,Undergrad,low,0,2024-04-03,True,False,0.0
T0000019,2025-04-21,I002566,P000896,Main,28,Book,STEM,2025-05-19,Undergrad,low,1,2025-05-17,True,False,0.0
T0000020,2025-09-14,I002578,P002111,Main,28,Book,HSS,2025-10-12,Faculty,medium,2,2025-10-11,True,False,0.0
T0000021,2025-09-30,I002594,P002392,Main,28,Book,Medicine,2025-10-28,Faculty,medium,2,2025-10-26,True,False,0.0
T0000022,2024-07-02,I005830,P000602,Main,28,Book,HSS,2024-07-30,Undergrad,high,1,2024-07-30,True,False,0.0
